Min Leaf Split,Accuracy,SKlearn Accuracy,F1-Score,SKlearn F1-Score,Precision,SKlearn Presicion,Recall,SKlearn Recall,Fitting Time,SKlearn Fitting Time,Prediction Time,SKlearn Prediction Time,Tree Depth,SKlearn Tree Depth,Model Size,SKlearn Model Size
13,0.9385093167701865,0.9413457556935818,0.9383604417092528,0.9412252802561382,0.9122829207829207,0.9171982313039285,0.9126666666666667,0.9166666666666666,0.051765780000278025,0.000565190000270377,0.00906529000003502,0.00011056999992433702,9.0,7.3,3015.8,4317.2
14,0.9441614906832297,0.9541821946169773,0.9441494886830283,0.9540530898585876,0.9197142229750925,0.9393005255613952,0.9211666666666668,0.9295000000000002,0.0476412199999686,0.0006056700003682636,0.008512730000256851,0.00011681000014505117,8.6,7.5,2825.9,4403.6
15,0.9442236024844721,0.9356728778467909,0.9442179649718735,0.9354866625204045,0.9160732866167649,0.9066967332184724,0.9255000000000001,0.9086666666666666,0.052936740000041026,0.0005894100004297798,0.008906479999859584,0.00012791000026481924,8.4,7.3,2956.6,4230.8
16,0.9528364389233955,0.9499585921325051,0.9530311423724169,0.9498367065282078,0.9192971102971104,0.9339973544973545,0.9501666666666667,0.9208333333333334,0.04467836999992869,0.0005672700001014164,0.007459750000452914,0.00011821999996755039,7.4,6.8,2449.5,4043.6
17,0.9499171842650103,0.9385300207039338,0.9500892239450778,0.9381947028629852,0.9179014616623313,0.9212450207644716,0.942,0.9001666666666667,0.047720980000121926,0.0005698999997548526,0.008223089999773947,0.00013072999972791878,8.1,7.2,2673.8,4029.2
18,0.9413664596273292,0.9485507246376812,0.941402158239741,0.9486609353159249,0.9072009077878642,0.9170210015427408,0.9251666666666667,0.9378333333333334,0.04896778000002087,0.0006784099996366422,0.007760899999993853,0.00014842000000498957,8.4,6.8,2367.1,3914.0
19,0.9471014492753623,0.9471014492753623,0.9473176252003224,0.9471185223937224,0.9106168716341131,0.920543227304097,0.9420000000000002,0.9298333333333334,0.045693789999313596,0.0005628500000966596,0.007019170000239683,0.0001310299998294795,8.0,7.1,2304.3,4000.4
20,0.9399171842650104,0.9427950310559007,0.9402785370682158,0.9430453600749562,0.8924068632516908,0.9081902397119789,0.9416666666666667,0.9334999999999999,0.053667010000026494,0.0005967900000541704,0.007802030000129889,0.0001679899998634937,8.9,6.3,2435.2,3496.4
21,0.9342236024844721,0.9456728778467909,0.9341503370557802,0.9458929101331417,0.9031347300875037,0.9110972730972732,0.9084999999999999,0.9380000000000001,0.04931491000006645,0.000593000000299071,0.007656650000171794,0.00014019999962329167,8.4,6.6,2444.5,3870.8
22,0.9356935817805384,0.9356728778467909,0.935324340713777,0.9354824146971857,0.9141988430672641,0.8990564203150017,0.9008333333333335,0.9168333333333335,0.046228579999842624,0.0005592100000285427,0.006987049999952433,0.00011785000024246983,7.8,6.5,2282.8,3482.0
23,0.939896480331263,0.9484679089026915,0.940414554023094,0.9484404915954203,0.8902537647537647,0.9263914282175152,0.9461666666666666,0.9251666666666667,0.04758240999999543,0.0005660700002408703,0.0072875900003055,0.00013458000012178672,8.8,6.7,2365.6,3726.8
24,0.9399585921325052,0.9413664596273292,0.9402238346921401,0.9414309323080119,0.8937586045194742,0.9081370851370851,0.942,0.9250000000000002,0.0449768700003915,0.0005646700001307181,0.006597710000096413,0.00012458999990485608,7.7,6.3,2182.7,3453.2
25,0.9471221532091099,0.9413250517598344,0.9474348239160106,0.9414109103416969,0.9067653642653642,0.9091653571870962,0.9461666666666666,0.9255000000000001,0.04718159999993077,0.0005460399999719812,0.00667126999978791,0.00011983999975200277,8.8,6.5,2195.5,3438.8
26,0.937080745341615,0.9484886128364389,0.9372141869176784,0.9485619048900709,0.8985772103125926,0.9139676434676435,0.9255000000000001,0.9418333333333335,0.04467384999989008,0.0005357300000468967,0.006387129999893659,0.00012271999967197189,8.4,6.0,2129.1,3366.8
27,0.9327743271221532,0.952815734989648,0.9329471570102772,0.9527037836165387,0.8967836792836792,0.9245086741379648,0.913,0.9418333333333333,0.041983040000195614,0.0005678299999999581,0.005862070000330277,0.00012960999993083533,7.6,6.9,1968.9,3496.4
28,0.9371014492753623,0.9456107660455487,0.9371638057715452,0.9456724060519834,0.9019562153246365,0.9167206352423742,0.921,0.9293333333333333,0.04256123999966803,0.0005416799995145993,0.005673430000024382,0.00011368999985279515,7.5,6.4,1953.1,3266.0
29,0.9270600414078676,0.929896480331263,0.927628775793224,0.929609928468768,0.8675802056236839,0.9016983210026689,0.9334999999999999,0.9005000000000001,0.04520838999997068,0.0005282599997372018,0.00635236000034638,0.00010834999957296532,8.3,5.9,2123.5,3179.6
30,0.9384472049689441,0.941304347826087,0.9381217185057282,0.9413933046841756,0.9201295226512618,0.9088874201482897,0.9005000000000001,0.9253333333333333,0.043614449999768115,0.0005269299999781651,0.005930510000143841,0.00010749999983090674,7.7,6.2,2024.7,3266.0
31,0.9442236024844721,0.9313457556935818,0.9440948599378647,0.9308385855981192,0.9254911610129002,0.9176355866355864,0.917,0.8838333333333332,0.04428220999998302,0.0005354000000806991,0.006054119999680552,0.00011884000014106277,8.2,5.7,2032.5,3150.8
32,0.9356521739130436,0.9413457556935818,0.9359258236961054,0.9414623779898825,0.8916910094736183,0.9094708292706795,0.9295,0.9253333333333333,0.04303934000017762,0.0005384500000218395,0.00573480999973981,0.00010013000010076212,7.8,6.0,1944.2,3222.8
