Min Leaf Split,Accuracy,SKlearn Accuracy,F1-Score,SKlearn F1-Score,Precision,SKlearn Presicion,Recall,SKlearn Recall,Fitting Time,SKlearn Fitting Time,Prediction Time,SKlearn Prediction Time,Tree Depth,SKlearn Tree Depth,Model Size,SKlearn Model Size
14,0.9514078674948241,0.9413457556935818,0.9517140259802114,0.9414246893441298,0.9168558495477537,0.9139545454545454,0.9503333333333334,0.9211666666666666,0.05307917000009184,0.0005740699998568743,0.00911441999978706,0.00013267999947856878,9.4,7.3,2992.3,4075.4
15,0.9370600414078675,0.9485093167701864,0.9370012642049037,0.9487006408584687,0.9117545755371841,0.9133846153846154,0.9083333333333334,0.9420000000000002,0.049421299999812617,0.0005573799997364403,0.008550410000134434,0.000131859999964945,8.0,7.6,2779.9,4061.0
16,0.9499585921325051,0.952815734989648,0.9501059873747634,0.9530871552780287,0.9126371127623003,0.9162002161312508,0.9503333333333334,0.9545,0.05248952999954781,0.0005638999997245264,0.008630310000444296,0.00011914999995497056,8.7,6.7,2830.2,3917.0
17,0.9428364389233955,0.954265010351967,0.9427501898713624,0.953961959778678,0.9142952917480652,0.9383083583083582,0.9251666666666665,0.9293333333333333,0.04653387000016664,0.0005516699995496311,0.007394779999958701,0.00012516999977378872,8.2,7.2,2421.0,3816.2
18,0.9356521739130436,0.9456728778467909,0.9354458797443105,0.9459833271236875,0.913876254180602,0.8983262108262109,0.9003333333333334,0.9501666666666667,0.04961209999964922,0.0005704299999706563,0.00776181000037468,0.00011715000018739375,8.3,7.1,2550.4,3960.2
19,0.9384679089026916,0.9485093167701864,0.9383781373751535,0.9487093473593251,0.915386446886447,0.923123813384683,0.9083333333333334,0.9336666666666666,0.04603839000028529,0.0005644099997880403,0.007159680000222579,0.00011207000006834278,8.9,7.0,2348.3,3801.8
20,0.9484886128364389,0.9499378881987578,0.9485942568614167,0.9499978157646913,0.9163237953672736,0.9169063159063159,0.9378333333333332,0.9416666666666668,0.044948169999588575,0.000583080000069458,0.007323970000288682,0.00012893000020994805,7.1,6.4,2305.6,3686.6
21,0.9384679089026916,0.9441821946169773,0.9383915812892093,0.9441226693281844,0.9141485929529407,0.9229739487565574,0.9085000000000001,0.9168333333333333,0.04507142999991629,0.0005379599999287166,0.006858779999856779,0.00011114000026282155,7.7,6.7,2265.4,3557.0
22,0.9384886128364389,0.9571014492753622,0.9385289256009385,0.957188665166996,0.9126172539216018,0.9309325529542921,0.913,0.9458333333333334,0.045636589999776336,0.0005495400002473616,0.007053079999968759,0.00012564999997266568,7.0,6.7,2314.1,3571.4
23,0.9442443064182194,0.9485093167701864,0.9445383649857332,0.9484452853169545,0.9066253673862372,0.9211973211973211,0.9421666666666667,0.9333333333333333,0.045416020000084246,0.0005972000000838307,0.006383749999804423,0.0001282700000956538,7.8,6.0,2120.3,3499.4
24,0.9485093167701864,0.9599585921325051,0.9487295163299645,0.9601452011045642,0.9203614276222973,0.9265410628019325,0.9376666666666666,0.9630000000000001,0.04318970999975136,0.0005624600002192892,0.006510689999959141,0.00012331999987509336,7.0,6.2,2132.7,3413.0
25,0.9441614906832297,0.9427950310559007,0.9441338566965326,0.9429135233414154,0.9083437383872166,0.915159781220501,0.9334999999999999,0.9256666666666666,0.044341930000155114,0.000547530000039842,0.006087059999845224,0.00011247000002185814,7.2,7.0,2045.2,3485.0
26,0.9371014492753623,0.9413664596273292,0.9375219210415372,0.94148255832072,0.889441724941725,0.9033685016466126,0.9378333333333334,0.9336666666666666,0.044409680000353544,0.0005659400001604808,0.0063124099999186,0.00013104000008752338,7.0,5.4,2086.7,3297.8
