Min Leaf Split,Accuracy,SKlearn Accuracy,F1-Score,SKlearn F1-Score,Precision,SKlearn Presicion,Recall,SKlearn Recall,Fitting Time,SKlearn Fitting Time,Prediction Time,SKlearn Prediction Time,Tree Depth,SKlearn Tree Depth,Model Size,SKlearn Model Size
12,0.9357142857142857,0.9385507246376813,0.9354838820533781,0.9383067646402503,0.9187394127611519,0.925691908735387,0.8965,0.8965,0.9585788399999728,0.0009251999998014071,0.00656686999991507,0.00015147000012802892,6.9,6.9,1885.5,3684.6
13,0.9342857142857144,0.9356935817805384,0.9339750220217079,0.9352836075021778,0.9183065123282516,0.9250209130643914,0.8923333333333332,0.8881666666666665,0.9485615900000994,0.000905389999934414,0.0062845899998137614,0.00018396000014035961,6.8,6.8,1809.0,3555.0
14,0.9314285714285715,0.9328364389233956,0.9312020514677475,0.9325106369482172,0.9096701486918878,0.9163845494280277,0.8923333333333332,0.8881666666666665,1.052985229999831,0.001057290000062494,0.00601827000045887,0.0002574900005129166,6.7,6.7,1775.0,3511.8
15,0.9342857142857144,0.934265010351967,0.9341386543725454,0.9340562538086319,0.9105707263750743,0.9134807792851272,0.9006666666666667,0.8965000000000002,1.0785513000002538,0.001074220000009518,0.006274879999546101,0.00018781999988277677,6.3,6.3,1715.5,3396.6
16,0.9357142857142857,0.9356935817805384,0.9356198453389801,0.9355374447750666,0.9111142046359438,0.9140242575459967,0.9048333333333334,0.9006666666666667,0.9132801400000972,0.0009833199999775388,0.005797729999903823,0.0001542799998787814,6.3,6.3,1698.5,3382.2
17,0.9357142857142857,0.9356935817805384,0.9356198453389801,0.9355374447750666,0.9111142046359438,0.9140242575459967,0.9048333333333334,0.9006666666666667,0.8431313000004593,0.0008381800000279327,0.004990150000048743,0.00013510000026144552,6.2,6.2,1681.5,3339.0
18,0.9371428571428572,0.9385507246376813,0.9371287053706505,0.9384254883902827,0.9115471050688442,0.9175910611128002,0.909,0.9048333333333334,0.7779602300002807,0.0009065199998076423,0.00478806999981316,0.00013346000032470328,6.1,6.1,1673.0,3324.6
19,0.9356728778467909,0.9385300207039338,0.9356608599180051,0.9384143730715182,0.9120471050688442,0.9180910611128003,0.9048333333333332,0.9048333333333332,0.7702481899998019,0.0008541800001694355,0.005016799999611976,0.00013903000017307933,5.8,5.8,1622.0,3238.2
20,0.9356728778467909,0.937080745341615,0.9356608599180051,0.936921802386314,0.9120471050688442,0.9180910611128003,0.9048333333333332,0.9006666666666666,0.7638747800003329,0.0007999500003279536,0.004474369999843475,0.00014462000053754308,5.7,5.7,1588.0,3180.6
21,0.9356728778467909,0.9356521739130436,0.9356608599180051,0.935542618802768,0.9120471050688442,0.9149571579788971,0.9048333333333332,0.9006666666666666,0.7842745100000684,0.000864479999836476,0.004773130000103265,0.00013640999986819224,5.6,5.6,1562.5,3137.4
22,0.9342443064182195,0.9342236024844721,0.9341914063910182,0.9340731652757812,0.9118494766103462,0.9147595295203992,0.9006666666666666,0.8965,0.8473200099999303,0.0008644800007459707,0.004813060000014957,0.0001557099994897726,5.5,5.5,1545.5,3108.6
23,0.9327950310559008,0.9327743271221532,0.9327512727001503,0.9326356792502105,0.9075016505233897,0.9102140749749447,0.9006666666666666,0.8965,0.850603880000017,0.0009176699999443372,0.005039499999838881,0.00017148999995697523,5.4,5.4,1520.0,3065.4
24,0.9313664596273293,0.9327743271221532,0.9313174883439169,0.9325810784775228,0.9071939582156976,0.9130402858011555,0.8965,0.8923333333333334,0.8002041600000667,0.0007958800002597855,0.004132140000365325,0.00014752000006410527,5.4,5.4,1494.5,3022.2
25,0.9327950310559008,0.9342236024844721,0.9328357585733571,0.9342100881433245,0.9048791434008827,0.9077891963109355,0.9048333333333332,0.9048333333333332,0.803644020000138,0.0007931200001621619,0.003921330000048328,0.00011998999998468207,5.4,5.4,1486.0,3007.8
26,0.937080745341615,0.9342028985507247,0.937058725253857,0.9341896186504041,0.9111207279033368,0.9077891963109355,0.909,0.9048333333333334,0.9466202900001008,0.0010523700000703684,0.0051850199999535105,0.00021245000025373883,5.3,5.3,1443.5,2935.8
27,0.9385093167701865,0.9399378881987579,0.9385448612916327,0.9399308820735721,0.9115159848203328,0.9149006002049482,0.9131666666666666,0.9131666666666666,0.9851012000000992,0.0010811000003741356,0.005075230000329611,0.0002733299999817973,5.2,5.2,1401.0,2863.8
28,0.9399378881987579,0.9384886128364389,0.9400213807761139,0.9385314577562067,0.9081715032149816,0.9079738747564836,0.9215,0.9173333333333333,0.7175005100001727,0.0007451399997080443,0.0033694699997795395,0.00010629999997036066,4.8,4.8,1358.5,2791.8
29,0.9385093167701865,0.9384886128364389,0.9385793010228642,0.9384753987848964,0.907601702645181,0.9107886895712983,0.9173333333333332,0.9131666666666666,0.7199820700003329,0.0007988100000147824,0.0036044200000105776,0.0001279699999940931,4.7,4.7,1324.5,2734.2
30,0.9385093167701865,0.9385093167701865,0.9384079605532815,0.9384079605532815,0.9138954089388873,0.9138954089388873,0.909,0.909,0.7122350300001926,0.0007599000000482192,0.0031120599998757823,0.00012047000000166008,4.5,4.5,1299.0,2691.0
31,0.9385093167701865,0.9399378881987579,0.9384079605532815,0.9397939813352206,0.9138954089388873,0.9172800243235028,0.909,0.909,0.7160064300000158,0.0007509100001698244,0.0031379599999127096,0.00011489999997138511,4.5,4.5,1299.0,2691.0
32,0.9385093167701865,0.9384886128364389,0.9384079605532815,0.9383040583153134,0.9138954089388873,0.9170823958650047,0.909,0.9048333333333334,0.7107112499999857,0.0007273200000781799,0.0030891000000337955,0.0001078199999028584,4.5,4.5,1290.5,2676.6
33,0.937080745341615,0.937080745341615,0.9369457492951518,0.9369457492951518,0.9133954089388873,0.9133954089388873,0.9048333333333334,0.9048333333333334,0.9494112500002302,0.000990329999876849,0.003969589999542222,0.0003025199999683537,4.5,4.5,1282.0,2662.2
34,0.9385093167701865,0.9399378881987579,0.9384119061079114,0.9397979268898504,0.913757727779467,0.9171423431640824,0.909,0.909,0.942530430000079,0.0009200700000292272,0.0038628399999652173,0.00030712999978277367,4.4,4.4,1265.0,2633.4
